Name,Phone,Rating,Rating Count,Address,Location
Saibal Kundu,919152783607,3.5,2,"Uttar Pordah, Vivekananda Nagar, Howrah - 711109",
B Hazra & Company,918336032040,3.5,2,"P/219, Benaras Road, Netajigarh, Howrah - 711108, Near Netajigarh Post Office",
Pratap Polysacks Ltd.,919152863738,4.1,27,"15A, 5th Floor Conteinental Chambers, Hemant Basu Sarani, Dalhousie, Kolkata - 700001, Opposite to Great Eastern Hotel (Also serves HOWRAH)",
A S R K Wall Arts Pvt Ltd,919928077652,4.1,140,"Solanki Talkies Road, Bhilwara Ho, Bhilwara - 311001, Near Shastri Nagar, Near Solanki Vatika (Also serves HOWRAH)",
Gurukripa Aluminium,919152377186,5.0,1,"Shop No.2 & 3,Nagesh Apartment, Agra Road, Thane West, thane - 400602, Near Teen Petrol Pump (Also serves HOWRAH)",
R D Enterprise,919152796519,3.5,2,"40, Strand Road, Dalhousie, Kolkata - 700001, Near Brabourne Road Flyover (Also serves HOWRAH)",
New Annapurna Hardware,919152117273,5.0,2,"49/1, K N C ROAD, Barasat, Kolkata - 700124, HARITALA MORE (Also serves HOWRAH)",
Xpert Shade Solution,917076334957,4.4,9,"Mahalaxmi Bhawan, Pani Tanki More, Sevoke Road, Siliguri - 734001, Opposite HDFC Bank (Also serves HOWRAH)",
Ma Kali Engineering,919152888774,5.0,3,"Vill Narayanpur P/o B.narayanpur, Ps Bhangar Bhojerhat Via Ghatakpukur, Bhojerhat, South 24 Parganas - 743502, Ballygada Narayanpur (Also serves HOWRAH)",
Shivam Traders,919152599266,4.5,11,"27, Rabindra Sarani, Rabindra Nagar, Kolkata - 700065, Near Dum Dum Metro Car Shed (Also serves HOWRAH)",
Saibal Kundu,919152783607,3.5,2,"Uttar Pordah, Vivekananda Nagar, Howrah - 711109",
B Hazra & Company,918336032040,3.5,2,"P/219, Benaras Road, Netajigarh, Howrah - 711108, Near Netajigarh Post Office",
Pratap Polysacks Ltd.,919152863738,4.1,27,"15A, 5th Floor Conteinental Chambers, Hemant Basu Sarani, Dalhousie, Kolkata - 700001, Opposite to Great Eastern Hotel (Also serves HOWRAH)",
A S R K Wall Arts Pvt Ltd,919928077652,4.1,140,"Solanki Talkies Road, Bhilwara Ho, Bhilwara - 311001, Near Shastri Nagar, Near Solanki Vatika (Also serves HOWRAH)",
Gurukripa Aluminium,919152377186,5.0,1,"Shop No.2 & 3,Nagesh Apartment, Agra Road, Thane West, thane - 400602, Near Teen Petrol Pump (Also serves HOWRAH)",
R D Enterprise,919152796519,3.5,2,"40, Strand Road, Dalhousie, Kolkata - 700001, Near Brabourne Road Flyover (Also serves HOWRAH)",
New Annapurna Hardware,919152117273,5.0,2,"49/1, K N C ROAD, Barasat, Kolkata - 700124, HARITALA MORE (Also serves HOWRAH)",
Xpert Shade Solution,917076334957,4.4,9,"Mahalaxmi Bhawan, Pani Tanki More, Sevoke Road, Siliguri - 734001, Opposite HDFC Bank (Also serves HOWRAH)",
Ma Kali Engineering,919152888774,5.0,3,"Vill Narayanpur P/o B.narayanpur, Ps Bhangar Bhojerhat Via Ghatakpukur, Bhojerhat, South 24 Parganas - 743502, Ballygada Narayanpur (Also serves HOWRAH)",
Shivam Traders,919152599266,4.5,11,"27, Rabindra Sarani, Rabindra Nagar, Kolkata - 700065, Near Dum Dum Metro Car Shed (Also serves HOWRAH)",
Saibal Kundu,919152783607,3.5,2,"Uttar Pordah, Vivekananda Nagar, Howrah - 711109",
B Hazra & Company,918336032040,3.5,2,"P/219, Benaras Road, Netajigarh, Howrah - 711108, Near Netajigarh Post Office",
Pratap Polysacks Ltd.,919152863738,4.1,27,"15A, 5th Floor Conteinental Chambers, Hemant Basu Sarani, Dalhousie, Kolkata - 700001, Opposite to Great Eastern Hotel (Also serves HOWRAH)",
A S R K Wall Arts Pvt Ltd,919928077652,4.1,140,"Solanki Talkies Road, Bhilwara Ho, Bhilwara - 311001, Near Shastri Nagar, Near Solanki Vatika (Also serves HOWRAH)",
Gurukripa Aluminium,919152377186,5.0,1,"Shop No.2 & 3,Nagesh Apartment, Agra Road, Thane West, thane - 400602, Near Teen Petrol Pump (Also serves HOWRAH)",
R D Enterprise,919152796519,3.5,2,"40, Strand Road, Dalhousie, Kolkata - 700001, Near Brabourne Road Flyover (Also serves HOWRAH)",
New Annapurna Hardware,919152117273,5.0,2,"49/1, K N C ROAD, Barasat, Kolkata - 700124, HARITALA MORE (Also serves HOWRAH)",
Xpert Shade Solution,917076334957,4.4,9,"Mahalaxmi Bhawan, Pani Tanki More, Sevoke Road, Siliguri - 734001, Opposite HDFC Bank (Also serves HOWRAH)",
Ma Kali Engineering,919152888774,5.0,3,"Vill Narayanpur P/o B.narayanpur, Ps Bhangar Bhojerhat Via Ghatakpukur, Bhojerhat, South 24 Parganas - 743502, Ballygada Narayanpur (Also serves HOWRAH)",
Shivam Traders,919152599266,4.5,11,"27, Rabindra Sarani, Rabindra Nagar, Kolkata - 700065, Near Dum Dum Metro Car Shed (Also serves HOWRAH)",
Saibal Kundu,919152783607,3.5,2,"Uttar Pordah, Vivekananda Nagar, Howrah - 711109",
B Hazra & Company,918336032040,3.5,2,"P/219, Benaras Road, Netajigarh, Howrah - 711108, Near Netajigarh Post Office",
