Name,Phone,Rating,Rating Count,Address,Location
Vishal Stores,912223412398,3.8,64,"Shop No 36,37,38,39, Phool Galli, Crawford Market, Mumbai - 400001",
K Star Aluminuim,,3.5,45,"Shop No 2, Walia Compound, Chembur East, Mumbai - 400071, Opposite Building No 24",
Insha Exports PVT LTD,912266755987,4.0,28,"B-106, Vaibhav Ind Premises,,, Saki Vihar RD, Sakinaka, Mumbai - 400072, Next to Saki Vihar Tel Exch, Powai",
Kumar Aluminium,919152326607,4.6,5,"Shop No.69,Kansara Chawl,, Kalbadevi Road,, Zaveri Bazar-Kalbadevi, Mumbai - 400002",
Pranav Pack Industries,919913381167,3.6,5,"Shop No 4, Jaldeep Shopping Centre, Aarohi Club Road, Bopal, Ahmedabad - 380058, Near Jaldeep 3 & 4, Opposite Axis Bank (Also serves MUMBAI)",
Silver Enterprise,912224020038,3.4,26,"Navrang Compound, Plot No 1, Mahim Causeway Rd, Dharavi, Mumbai - 400017, Above Mahim Dharavi Link Bridge",
Ambika Metals,912223462457,4.2,17,"Shop No 205, Bapu Khote Street, Pydhonie, Mumbai - 400003, Opp Pydhonie Police Station",
Aditya Agencies,912228056852,4.2,14,"C/24, Borivali West, Mumbai - 400092, Behind Sai Baba Nagar, Shreepal Nagar",
Manisha Enterprises,919152378472,4.2,14,"Shop No 24 Sunil Shopping Center, J P Road, Andheri West, Mumbai - 400058, Opposite Navrang Cinema",
Ali Packaging,919022613446,2.7,13,"CTS 312,NearvLotus Petrol Pump,, Andheri West, Mumbai - 400053, Near Adarsh Nagar,Behind Oriental College,",
