Name,Phone,Rating,Rating Count,Address,Location
Starmark Fitness Studio,919152587384,4.7,24,"First Floor, CITI HIGH BUILDING, 85 Prince Anwar Shah Road, Kolkata - 700045, Beside Navina Cinema Hall",
Adrenaline Rush,919152628578,3.3,3,"16 Leela Roy Sarani, Gariahat Road, Ballygunge, Kolkata - 700019, Above Bazaar Kolkata",
The Fitness Connection,919152808985,5.0,99,"42/1b/1, Prince Gulam Hussain Shah Road, Jadavpur, Kolkata - 700032",
Physiomax,919152956848,4.1,395,"CL 236, 1st Floor., Salt Lake Sector 2, Kolkata - 700064, Near Karunamoyee Wipro Circle",
Physiomax,919152302381,4.3,335,"Aishwarya Apartment, 240, Jessore Road, Dum Dum, Kolkata - 700028, Near Nagerbazaar More Clive House",
Skulpt,913340716035,4.1,331,"57, Horizon Building, 5th Floor, Jawaharlal Nehru Road, Kolkata - 700071, Near Exide Building",
Fast Fitness Pvt. Ltd.,919152159907,4.7,32,"68, James Long Sarani, Behala, Kolkata - 700034, Near M P Birla School",
Relook Gym,919152842037,4.4,4,"180, Sector A , 1st Floor, Canal South Road, Kolkata - 700105, Beside Byepass Dhaba,Metropolitan Co-Operative Housing Society",
Z 4 Fitness,919152388483,4.8,2,"195/4, Rash Bihari Avanue, Kolkata - 700019, Opposite Bharat Petroleum",
Phoenix Fitness Studio,919152166748,4.2,50,"148, Jessore Road, Nager Bazar, Motijhil, Kolkata - 700074, Near Satgachhi Bus Stop",
Starmark Fitness Studio,919152587384,4.7,24,"First Floor, CITI HIGH BUILDING, 85 Prince Anwar Shah Road, Kolkata - 700045, Beside Navina Cinema Hall",
Adrenaline Rush,919152628578,3.3,3,"16 Leela Roy Sarani, Gariahat Road, Ballygunge, Kolkata - 700019, Above Bazaar Kolkata",
The Fitness Connection,919152808985,5.0,99,"42/1b/1, Prince Gulam Hussain Shah Road, Jadavpur, Kolkata - 700032",
Physiomax,919152956848,4.1,395,"CL 236, 1st Floor., Salt Lake Sector 2, Kolkata - 700064, Near Karunamoyee Wipro Circle",
Physiomax,919152302381,4.3,335,"Aishwarya Apartment, 240, Jessore Road, Dum Dum, Kolkata - 700028, Near Nagerbazaar More Clive House",
Skulpt,913340716035,4.1,331,"57, Horizon Building, 5th Floor, Jawaharlal Nehru Road, Kolkata - 700071, Near Exide Building",
Fast Fitness Pvt. Ltd.,919152159907,4.7,32,"68, James Long Sarani, Behala, Kolkata - 700034, Near M P Birla School",
Relook Gym,919152842037,4.4,4,"180, Sector A , 1st Floor, Canal South Road, Kolkata - 700105, Beside Byepass Dhaba,Metropolitan Co-Operative Housing Society",
Z 4 Fitness,919152388483,4.8,2,"195/4, Rash Bihari Avanue, Kolkata - 700019, Opposite Bharat Petroleum",
Phoenix Fitness Studio,919152166748,4.2,50,"148, Jessore Road, Nager Bazar, Motijhil, Kolkata - 700074, Near Satgachhi Bus Stop",
Starmark Fitness Studio,919152587384,4.7,24,"First Floor, CITI HIGH BUILDING, 85 Prince Anwar Shah Road, Kolkata - 700045, Beside Navina Cinema Hall",
Adrenaline Rush,919152628578,3.3,3,"16 Leela Roy Sarani, Gariahat Road, Ballygunge, Kolkata - 700019, Above Bazaar Kolkata",
The Fitness Connection,919152808985,5.0,99,"42/1b/1, Prince Gulam Hussain Shah Road, Jadavpur, Kolkata - 700032",
Physiomax,919152956848,4.1,395,"CL 236, 1st Floor., Salt Lake Sector 2, Kolkata - 700064, Near Karunamoyee Wipro Circle",
Physiomax,919152302381,4.3,335,"Aishwarya Apartment, 240, Jessore Road, Dum Dum, Kolkata - 700028, Near Nagerbazaar More Clive House",
Skulpt,913340716035,4.1,331,"57, Horizon Building, 5th Floor, Jawaharlal Nehru Road, Kolkata - 700071, Near Exide Building",
Fast Fitness Pvt. Ltd.,919152159907,4.7,32,"68, James Long Sarani, Behala, Kolkata - 700034, Near M P Birla School",
Relook Gym,919152842037,4.4,4,"180, Sector A , 1st Floor, Canal South Road, Kolkata - 700105, Beside Byepass Dhaba,Metropolitan Co-Operative Housing Society",
Z 4 Fitness,919152388483,4.8,2,"195/4, Rash Bihari Avanue, Kolkata - 700019, Opposite Bharat Petroleum",
Phoenix Fitness Studio,919152166748,4.2,50,"148, Jessore Road, Nager Bazar, Motijhil, Kolkata - 700074, Near Satgachhi Bus Stop",
